,newinfections,hospitalized,recovered,deceased
6602,1709,3756,402798,25317
6623,863,3711,407902,25344
6644,1338,3819,409548,25406
6665,2952,3895,412034,25498
6686,2799,3836,413248,25532
6707,1963,3902,414643,25665
6728,2506,4033,416326,25728
6749,3267,4057,417173,25787
6770,1488,3984,421890,25849
6791,1146,4107,423074,25903
6812,2245,4113,424720,25954
6833,2587,4082,426098,26026
6854,2205,4067,427181,26094
6875,2134,4118,428393,26172
6896,1603,4062,431787,26237
6917,1189,4002,435509,26282
6938,930,4044,436485,26339
6959,1876,4078,438058,26405
6980,2234,4055,440880,26460
7001,1969,3987,442631,26518
7022,1535,3897,444809,26622
7043,1375,3833,445604,26666
7064,1484,3819,450069,26712
7085,1230,3922,452231,26789
7106,2293,3950,454392,26851
7127,2603,3908,456106,26939
7148,1900,3869,458254,27016
7169,1832,3831,459401,27074
7190,1438,3865,459879,27098
7211,1093,3860,463522,27150
7232,912,3905,466287,27213
7253,1738,3913,467193,27259
7274,1746,3901,469348,27299
7295,2504,3908,470500,27345
7316,1923,3894,472266,27395
7337,1515,3825,473192,27453
7358,895,3853,476502,27504
7379,1625,3916,477407,27559
7400,1849,3935,479645,27598
7421,2434,3918,481626,27652
7442,2526,3942,482645,27699
7463,2277,3939,484180,27760
7484,1987,3926,484680,27781
7505,945,3938,487577,27816
7526,1696,4066,489192,27854
7547,1764,4103,490907,27883
7568,2540,4084,492112,27938
7589,3724,4106,493987,27971
7610,3019,4104,495393,28008
7631,2514,4127,496177,28058
7652,1491,4217,499299,28103
7673,2480,4325,500390,28146
7694,3310,4352,503152,28184
7715,4243,4431,504748,28228
7736,4557,4450,505819,28275
7757,4191,4497,507514,28324
7778,3529,4544,508379,28361
7799,2135,4665,511811,28403
7820,3762,4884,512830,28458
7841,4590,5051,515714,28518
7862,5174,5267,517771,28577
7883,5210,5347,519186,28638
7904,5658,5499,520251,28705
7925,4397,5631,523031,28738
7946,2301,5797,527359,28790
7967,4084,6027,529166,28853
7988,4422,6201,530794,28923
8009,5849,6363,532961,29004
8030,6262,6576,535077,29093
8051,5809,6762,539052,29159
8072,4334,6791,540331,29220
8093,2185,6926,546761,29299
8114,4235,7239,548302,29380
8135,4490,7422,552724,29459
8156,5641,7530,554969,29551
8177,5518,7584,558572,29631
8198,4810,7682,559757,29709
8219,4003,7732,562346,29799
8240,2105,7774,571586,29876
8261,3643,8001,575437,29975
8282,4282,8023,577693,30085
8303,5046,7977,580733,30185
8324,5077,7959,583133,30285
8345,4884,7976,585943,30387
8366,3520,7937,593324,30462
8387,1793,7864,601915,30550
8408,3271,7971,604384,30635
8429,3943,7896,608894,30735
8450,4483,7683,613071,30862
8471,3941,7560,616293,30959
8492,4132,7522,622859,31056
8513,3003,7486,625949,31130
8534,1358,7484,626759,31211
8555,841,7488,638279,31264
8576,2569,7429,642145,31373
8597,2537,7331,644850,31503
8618,3289,7080,648463,31595
8639,2974,6883,653897,31676
8660,2302,6710,655680,31753
8681,997,6574,663408,31815
8702,1975,6514,666635,31909
8723,2153,6370,669980,31994
8744,2722,6126,674783,32059
8765,2431,5859,677650,32146
8786,2546,5624,679716,32220
8807,1782,5438,682858,32284
8828,1040,5331,690708,32319
8849,1670,5314,693524,32386
8870,2095,5189,696076,32458
8891,2509,5005,698574,32512
8912,2304,4829,702119,32569
8933,2313,4661,703739,32618
8954,1967,4496,705138,32657
8975,872,4425,710637,32688
8996,1369,4401,711865,32742
9017,2442,4282,715042,32789
9038,2306,4154,717503,32829
9059,2214,4045,719265,32870
9080,2139,3939,722214,32922
9101,1287,3832,722815,32945
9122,637,3750,727433,32973
9143,1354,3788,728840,33014
9164,1557,3707,731260,33046
9185,2151,3585,732612,33081
9206,1759,3459,735292,33106
9227,1584,3340,738385,33149
9248,1326,3218,739508,33182
9269,583,3147,744091,33205
9290,788,3010,745814,33235
9311,1198,2889,747841,33271
9332,1396,2768,749551,33284
9353,1160,2662,751543,33307
9374,1154,2549,752638,33329
9395,796,2435,753628,33347
9416,675,2399,754566,33360
9437,598,2345,755558,33391
9458,936,2257,757040,33416
9479,1003,2071,758880,33438
9500,847,1970,759878,33449
9521,828,1864,761498,33462
9542,711,1774,761995,33471
9563,249,1757,762218,33478
9584,505,1725,763768,33495
9605,666,1642,765498,33510
9626,739,1559,766955,33551
9647,661,1481,767807,33580
9668,620,1374,768559,33593
9689,458,1322,769324,33598
9710,132,1285,770009,33611
9731,461,1293,770816,33620
9752,519,1187,780714,33630
9773,277,1135,781208,33637
9794,417,1122,781589,33643
9815,436,1057,782231,33653
9836,359,1000,783276,33669
9857,142,966,783492,33675
9878,291,962,783926,33686
9899,322,897,785653,33696
9920,352,851,786120,33702
9941,270,782,786849,33707
9962,255,751,787042,33720
9983,257,742,787358,33726
10004,102,705,787476,33729
10025,182,690,787696,33737
10046,256,626,789029,33742
10067,232,586,789375,33746
10088,114,518,792781,33748
10109,183,482,793206,33751
10130,145,485,793279,33753
10151,83,468,793368,33757
10172,126,462,793685,33758
10193,131,422,794617,33761
10214,155,386,794917,33765
10235,134,361,795003,33767
10256,115,333,795826,33772
10277,119,320,795931,33774
10298,46,311,796598,33775
10319,98,300,796716,33778
10340,129,269,797571,33780
10361,136,250,797737,33782
10382,143,242,798298,33782
10403,140,253,799005,33785
10424,131,239,799613,33786
10445,51,208,800231,33786
10466,129,203,800296,33791
10487,100,194,800338,33791
10508,215,177,800393,33792
10529,230,162,800453,33795
10550,205,158,801047,33798
10571,250,161,801680,33799
10592,95,164,802222,33800
10613,241,166,802249,33802
10634,420,155,802309,33802
10655,381,157,803013,33802
10676,399,173,803034,33804
10697,438,167,804643,33808
10718,369,166,804682,33809
10739,208,168,804715,33810
10760,407,167,805341,33810
10781,564,160,806378,33813
10802,513,163,806543,33814
10823,691,169,806737,33815
10844,574,179,806903,33815
10865,461,177,806966,33816
10886,177,179,806993,33817
10907,641,209,807275,33818
10928,720,223,807518,33819
10949,661,236,807796,33822
10970,678,237,808143,33823
10991,777,231,808281,33827
11012,522,235,808491,33827
11033,326,242,808545,33827
11054,586,269,808974,33830
11075,806,279,809321,33834
11096,793,285,809835,33835
11117,664,283,810376,33836
11138,756,294,810770,33837
11159,637,311,810908,33838
11180,200,312,810972,33839
